user_id,task_count,event_count,activity_cluster
312,5,6,Medium Activity
328,5,6,Medium Activity
393,5,6,Medium Activity
401,5,6,Medium Activity
422,5,6,Medium Activity
426,5,6,Medium Activity
431,5,6,Medium Activity
443,5,6,Medium Activity
465,5,6,Medium Activity
512,5,6,Medium Activity
514,5,6,Medium Activity
567,5,6,Medium Activity
595,5,6,Medium Activity
618,5,6,Medium Activity
627,5,6,Medium Activity
681,5,6,Medium Activity
683,5,6,Medium Activity
741,5,6,Medium Activity
795,5,6,Medium Activity
801,5,6,Medium Activity
807,5,6,Medium Activity
868,5,6,Medium Activity
938,5,6,Medium Activity
961,5,6,Medium Activity
969,5,6,Medium Activity
1013,5,6,Medium Activity
1022,5,6,Medium Activity
1039,5,6,Medium Activity
1061,5,6,Medium Activity
1074,5,6,Medium Activity
1082,5,6,Medium Activity
1167,5,6,Medium Activity
1178,5,6,Medium Activity
1251,5,6,Medium Activity
1274,5,6,Medium Activity
1284,5,6,Medium Activity
1292,5,6,Medium Activity
1308,5,6,Medium Activity
1339,5,6,Medium Activity
1373,5,6,Medium Activity
1374,5,6,Medium Activity
1410,5,6,Medium Activity
1423,5,6,Medium Activity
1552,5,6,Medium Activity
1557,5,6,Medium Activity
1565,5,6,Medium Activity
1602,5,6,Medium Activity
1615,5,6,Medium Activity
1628,5,6,Medium Activity
1723,5,6,Medium Activity
1724,5,6,Medium Activity
1735,5,6,Medium Activity
1790,5,6,Medium Activity
1842,5,6,Medium Activity
1854,5,6,Medium Activity
1864,5,6,Medium Activity
1902,5,6,Medium Activity
1930,5,6,Medium Activity
1940,5,6,Medium Activity
1970,5,6,Medium Activity
1991,5,6,Medium Activity
2004,5,6,Medium Activity
2005,5,6,Medium Activity
2021,5,6,Medium Activity
2226,5,6,Medium Activity
2261,5,6,Medium Activity
2269,5,6,Medium Activity
2294,5,6,Medium Activity
2325,5,6,Medium Activity
2363,5,6,Medium Activity
2365,5,6,Medium Activity
2372,5,6,Medium Activity
2405,5,6,Medium Activity
2457,5,6,Medium Activity
2501,5,6,Medium Activity
2518,5,6,Medium Activity
2523,5,6,Medium Activity
2524,5,6,Medium Activity
2532,5,6,Medium Activity
2561,5,6,Medium Activity
2583,5,6,Medium Activity
2657,5,6,Medium Activity
2763,5,6,Medium Activity
2832,5,6,Medium Activity
2894,5,6,Medium Activity
2915,5,6,Medium Activity
2918,5,6,Medium Activity
2922,5,6,Medium Activity
2937,5,6,Medium Activity
2944,5,6,Medium Activity
2949,5,6,Medium Activity
2966,5,6,Medium Activity
2976,5,6,Medium Activity
2986,5,6,Medium Activity
2997,5,6,Medium Activity
3001,5,6,Medium Activity
3003,5,6,Medium Activity
3042,5,6,Medium Activity
3071,5,6,Medium Activity
3154,5,6,Medium Activity
3162,5,6,Medium Activity
3181,5,6,Medium Activity
3196,5,6,Medium Activity
3212,5,6,Medium Activity
3228,5,6,Medium Activity
3245,5,6,Medium Activity
3263,5,6,Medium Activity
3283,5,6,Medium Activity
3287,5,6,Medium Activity
3311,5,6,Medium Activity
3339,5,6,Medium Activity
3403,5,6,Medium Activity
3404,5,6,Medium Activity
3407,5,6,Medium Activity
3419,5,6,Medium Activity
3489,5,6,Medium Activity
3493,5,6,Medium Activity
3510,5,6,Medium Activity
3527,5,6,Medium Activity
3540,5,6,Medium Activity
3614,5,6,Medium Activity
3634,5,6,Medium Activity
3697,5,6,Medium Activity
3702,5,6,Medium Activity
3732,5,6,Medium Activity
3781,5,6,Medium Activity
3784,5,6,Medium Activity
3807,5,6,Medium Activity
3816,5,6,Medium Activity
3853,5,6,Medium Activity
3859,5,6,Medium Activity
3981,5,6,Medium Activity
3990,5,6,Medium Activity
4014,5,6,Medium Activity
4070,5,6,Medium Activity
4117,5,6,Medium Activity
4129,5,6,Medium Activity
4141,5,6,Medium Activity
4144,5,6,Medium Activity
4147,5,6,Medium Activity
4193,5,6,Medium Activity
4216,5,6,Medium Activity
4231,5,6,Medium Activity
4246,5,6,Medium Activity
4274,5,6,Medium Activity
4282,5,6,Medium Activity
4298,5,6,Medium Activity
4369,5,6,Medium Activity
4382,5,6,Medium Activity
4387,5,6,Medium Activity
4403,5,6,Medium Activity
4407,5,6,Medium Activity
4425,5,6,Medium Activity
4470,5,6,Medium Activity
4514,5,5,Medium Activity
4518,5,5,Medium Activity
4531,5,5,Medium Activity
4541,5,5,Medium Activity
4548,5,5,Medium Activity
4566,5,5,Medium Activity
4567,5,5,Medium Activity
4590,5,5,Medium Activity
4643,5,5,Medium Activity
4644,5,5,Medium Activity
4693,5,5,Medium Activity
4702,5,5,Medium Activity
4713,5,5,Medium Activity
4774,5,5,Medium Activity
4775,5,5,Medium Activity
4804,5,5,Medium Activity
4817,5,5,Medium Activity
4893,5,5,Medium Activity
4941,5,5,Medium Activity
4953,5,5,Medium Activity
4978,5,5,Medium Activity
4989,5,5,Medium Activity
5044,5,4,Medium Activity
5057,5,4,Medium Activity
5070,5,4,Medium Activity
5080,5,4,Medium Activity
5087,5,4,Medium Activity
5107,5,4,Medium Activity
5118,5,4,Medium Activity
5160,5,4,Medium Activity
5177,5,4,Medium Activity
5188,5,4,Medium Activity
5235,5,4,Medium Activity
5247,5,4,Medium Activity
5250,5,4,Medium Activity
5252,5,4,Medium Activity
5292,5,4,Medium Activity
5317,5,4,Medium Activity
5336,5,4,Medium Activity
5355,5,4,Medium Activity
5392,5,4,Medium Activity
5436,5,4,Medium Activity
5474,5,4,Medium Activity
5495,5,4,Medium Activity
5538,5,3,Medium Activity
5585,5,3,Medium Activity
5599,5,3,Medium Activity
5607,5,3,Medium Activity
5628,5,3,Medium Activity
5631,5,3,Medium Activity
5637,5,3,Medium Activity
5642,5,3,Medium Activity
5643,5,3,Medium Activity
5672,5,3,Medium Activity
5702,5,3,Medium Activity
5715,5,3,Medium Activity
5717,5,3,Medium Activity
5720,5,3,Medium Activity
5776,5,3,Medium Activity
5949,5,3,Medium Activity
5965,5,3,Medium Activity
6024,5,2,Medium Activity
6044,5,2,Medium Activity
6077,5,2,Medium Activity
6080,5,2,Medium Activity
6091,5,2,Medium Activity
6163,5,2,Medium Activity
6178,5,2,Medium Activity
6191,5,2,Medium Activity
6199,5,2,Medium Activity
6206,5,2,Medium Activity
6208,5,2,Medium Activity
6266,5,2,Medium Activity
6270,5,2,Medium Activity
6281,5,2,Medium Activity
6286,5,2,Medium Activity
6291,5,2,Medium Activity
6304,5,2,Medium Activity
6312,5,2,Medium Activity
6369,5,2,Medium Activity
6389,5,2,Medium Activity
6399,5,2,Medium Activity
6404,5,2,Medium Activity
6407,5,2,Medium Activity
6432,5,2,Medium Activity
6494,5,2,Medium Activity
6587,5,1,Medium Activity
6617,5,1,Medium Activity
6750,5,1,Medium Activity
6765,5,1,Medium Activity
6908,5,1,Medium Activity
6963,5,1,Medium Activity
7020,5,0,Medium Activity
7047,5,0,Medium Activity
7050,5,0,Medium Activity
7063,5,0,Medium Activity
7072,5,0,Medium Activity
7073,5,0,Medium Activity
7098,5,0,Medium Activity
7111,5,0,Medium Activity
7116,5,0,Medium Activity
7126,5,0,Medium Activity
7133,5,0,Medium Activity
7137,5,0,Medium Activity
7191,5,0,Medium Activity
7197,5,0,Medium Activity
7243,5,0,Medium Activity
7283,5,0,Medium Activity
7303,5,0,Medium Activity
7322,5,0,Medium Activity
7387,5,0,Medium Activity
7395,5,0,Medium Activity
7517,5,0,Medium Activity
7534,5,0,Medium Activity
7559,5,0,Medium Activity
7601,5,0,Medium Activity
7604,5,0,Medium Activity
7675,5,0,Medium Activity
7707,5,0,Medium Activity
7728,5,0,Medium Activity
7760,5,0,Medium Activity
7834,5,0,Medium Activity
7869,5,0,Medium Activity
7879,5,0,Medium Activity
7926,5,0,Medium Activity
7927,5,0,Medium Activity
8007,5,0,Medium Activity
8029,5,0,Medium Activity
8039,5,0,Medium Activity
8067,5,0,Medium Activity
8084,5,0,Medium Activity
8108,5,0,Medium Activity
8125,5,0,Medium Activity
8126,5,0,Medium Activity
8180,5,0,Medium Activity
8198,5,0,Medium Activity
8208,5,0,Medium Activity
8247,5,0,Medium Activity
8288,5,0,Medium Activity
8316,5,0,Medium Activity
8348,5,0,Medium Activity
8374,5,0,Medium Activity
8377,5,0,Medium Activity
8387,5,0,Medium Activity
8422,5,0,Medium Activity
8454,5,0,Medium Activity
8505,5,0,Medium Activity
8622,5,0,Medium Activity
8643,5,0,Medium Activity
8674,5,0,Medium Activity
8702,5,0,Medium Activity
8726,5,0,Medium Activity
8772,5,0,Medium Activity
8797,5,0,Medium Activity
8801,5,0,Medium Activity
8806,5,0,Medium Activity
8827,5,0,Medium Activity
8831,5,0,Medium Activity
8893,5,0,Medium Activity
8935,5,0,Medium Activity
8966,5,0,Medium Activity
8968,5,0,Medium Activity
8975,5,0,Medium Activity
8991,5,0,Medium Activity
8993,5,0,Medium Activity
9052,5,0,Medium Activity
9071,5,0,Medium Activity
9113,5,0,Medium Activity
9129,5,0,Medium Activity
9200,5,0,Medium Activity
9205,5,0,Medium Activity
9209,5,0,Medium Activity
9229,5,0,Medium Activity
9237,5,0,Medium Activity
9341,5,0,Medium Activity
9379,5,0,Medium Activity
9411,5,0,Medium Activity
9418,5,0,Medium Activity
9461,5,0,Medium Activity
9480,5,0,Medium Activity
9565,5,0,Medium Activity
9608,5,0,Medium Activity
9632,5,0,Medium Activity
9634,5,0,Medium Activity
9647,5,0,Medium Activity
9684,5,0,Medium Activity
9702,5,0,Medium Activity
9725,5,0,Medium Activity
9735,5,0,Medium Activity
9749,5,0,Medium Activity
9773,5,0,Medium Activity
9789,5,0,Medium Activity
9790,5,0,Medium Activity
9804,5,0,Medium Activity
9805,5,0,Medium Activity
9825,5,0,Medium Activity
9860,5,0,Medium Activity
9864,5,0,Medium Activity
9873,5,0,Medium Activity
9881,5,0,Medium Activity
9892,5,0,Medium Activity
6,4,6,Medium Activity
13,4,6,Medium Activity
14,4,6,Medium Activity
15,4,6,Medium Activity
20,4,6,Medium Activity
25,4,6,Medium Activity
63,4,6,Medium Activity
67,4,6,Medium Activity
96,4,6,Medium Activity
103,4,6,Medium Activity
113,4,6,Medium Activity
116,4,6,Medium Activity
132,4,6,Medium Activity
149,4,6,Medium Activity
180,4,6,Medium Activity
181,4,6,Medium Activity
189,4,6,Medium Activity
194,4,6,Medium Activity
201,4,6,Medium Activity
206,4,6,Medium Activity
213,4,6,Medium Activity
227,4,6,Medium Activity
251,4,6,Medium Activity
264,4,6,Medium Activity
274,4,6,Medium Activity
294,4,6,Medium Activity
309,4,6,Medium Activity
319,4,6,Medium Activity
320,4,6,Medium Activity
333,4,6,Medium Activity
345,4,6,Medium Activity
356,4,6,Medium Activity
360,4,6,Medium Activity
377,4,6,Medium Activity
380,4,6,Medium Activity
386,4,6,Medium Activity
389,4,6,Medium Activity
427,4,6,Medium Activity
430,4,6,Medium Activity
450,4,6,Medium Activity
454,4,6,Medium Activity
461,4,6,Medium Activity
471,4,6,Medium Activity
484,4,6,Medium Activity
491,4,6,Medium Activity
493,4,6,Medium Activity
503,4,6,Medium Activity
530,4,6,Medium Activity
535,4,6,Medium Activity
544,4,6,Medium Activity
550,4,6,Medium Activity
556,4,6,Medium Activity
560,4,6,Medium Activity
571,4,6,Medium Activity
578,4,6,Medium Activity
589,4,6,Medium Activity
597,4,6,Medium Activity
599,4,6,Medium Activity
614,4,6,Medium Activity
633,4,6,Medium Activity
641,4,6,Medium Activity
643,4,6,Medium Activity
646,4,6,Medium Activity
670,4,6,Medium Activity
676,4,6,Medium Activity
679,4,6,Medium Activity
682,4,6,Medium Activity
694,4,6,Medium Activity
695,4,6,Medium Activity
698,4,6,Medium Activity
699,4,6,Medium Activity
712,4,6,Medium Activity
716,4,6,Medium Activity
737,4,6,Medium Activity
739,4,6,Medium Activity
743,4,6,Medium Activity
788,4,6,Medium Activity
819,4,6,Medium Activity
829,4,6,Medium Activity
848,4,6,Medium Activity
853,4,6,Medium Activity
863,4,6,Medium Activity
872,4,6,Medium Activity
874,4,6,Medium Activity
889,4,6,Medium Activity
910,4,6,Medium Activity
919,4,6,Medium Activity
953,4,6,Medium Activity
966,4,6,Medium Activity
971,4,6,Medium Activity
989,4,6,Medium Activity
990,4,6,Medium Activity
997,4,6,Medium Activity
1006,4,6,Medium Activity
1019,4,6,Medium Activity
1020,4,6,Medium Activity
1044,4,6,Medium Activity
1047,4,6,Medium Activity
1056,4,6,Medium Activity
1062,4,6,Medium Activity
1069,4,6,Medium Activity
1120,4,6,Medium Activity
1123,4,6,Medium Activity
1124,4,6,Medium Activity
1126,4,6,Medium Activity
1137,4,6,Medium Activity
1156,4,6,Medium Activity
1171,4,6,Medium Activity
1182,4,6,Medium Activity
1183,4,6,Medium Activity
1213,4,6,Medium Activity
1217,4,6,Medium Activity
1234,4,6,Medium Activity
1239,4,6,Medium Activity
1241,4,6,Medium Activity
1285,4,6,Medium Activity
1299,4,6,Medium Activity
1310,4,6,Medium Activity
1313,4,6,Medium Activity
1327,4,6,Medium Activity
1348,4,6,Medium Activity
1397,4,6,Medium Activity
1399,4,6,Medium Activity
1413,4,6,Medium Activity
1418,4,6,Medium Activity
1436,4,6,Medium Activity
1462,4,6,Medium Activity
1480,4,6,Medium Activity
1496,4,6,Medium Activity
1502,4,6,Medium Activity
1514,4,6,Medium Activity
1523,4,6,Medium Activity
1544,4,6,Medium Activity
1546,4,6,Medium Activity
1555,4,6,Medium Activity
1587,4,6,Medium Activity
1592,4,6,Medium Activity
1598,4,6,Medium Activity
1614,4,6,Medium Activity
1616,4,6,Medium Activity
1617,4,6,Medium Activity
1619,4,6,Medium Activity
1632,4,6,Medium Activity
1646,4,6,Medium Activity
1661,4,6,Medium Activity
1663,4,6,Medium Activity
1664,4,6,Medium Activity
1679,4,6,Medium Activity
1686,4,6,Medium Activity
1688,4,6,Medium Activity
1689,4,6,Medium Activity
1692,4,6,Medium Activity
1707,4,6,Medium Activity
1739,4,6,Medium Activity
1757,4,6,Medium Activity
1773,4,6,Medium Activity
1792,4,6,Medium Activity
1795,4,6,Medium Activity
1801,4,6,Medium Activity
1804,4,6,Medium Activity
1825,4,6,Medium Activity
1833,4,6,Medium Activity
1838,4,6,Medium Activity
1849,4,6,Medium Activity
1853,4,6,Medium Activity
1856,4,6,Medium Activity
1858,4,6,Medium Activity
1863,4,6,Medium Activity
1869,4,6,Medium Activity
1871,4,6,Medium Activity
1877,4,6,Medium Activity
1879,4,6,Medium Activity
1897,4,6,Medium Activity
1933,4,6,Medium Activity
1973,4,6,Medium Activity
1983,4,6,Medium Activity
1989,4,6,Medium Activity
2011,4,6,Medium Activity
2013,4,6,Medium Activity
2020,4,6,Medium Activity
2023,4,6,Medium Activity
2049,4,6,Medium Activity
2050,4,6,Medium Activity
2093,4,6,Medium Activity
2131,4,6,Medium Activity
2143,4,6,Medium Activity
2149,4,6,Medium Activity
2155,4,6,Medium Activity
2157,4,6,Medium Activity
2167,4,6,Medium Activity
2174,4,6,Medium Activity
2195,4,6,Medium Activity
2197,4,6,Medium Activity
2198,4,6,Medium Activity
2200,4,6,Medium Activity
2201,4,6,Medium Activity
2207,4,6,Medium Activity
2210,4,6,Medium Activity
2225,4,6,Medium Activity
2246,4,6,Medium Activity
2254,4,6,Medium Activity
2274,4,6,Medium Activity
2312,4,6,Medium Activity
2328,4,6,Medium Activity
2333,4,6,Medium Activity
2341,4,6,Medium Activity
2352,4,6,Medium Activity
2359,4,6,Medium Activity
2382,4,6,Medium Activity
2397,4,6,Medium Activity
2400,4,6,Medium Activity
2401,4,6,Medium Activity
2406,4,6,Medium Activity
2428,4,6,Medium Activity
2459,4,6,Medium Activity
2464,4,6,Medium Activity
2476,4,6,Medium Activity
2478,4,6,Medium Activity
2490,4,6,Medium Activity
2493,4,6,Medium Activity
2499,4,6,Medium Activity
2504,4,6,Medium Activity
2520,4,6,Medium Activity
2541,4,6,Medium Activity
2571,4,6,Medium Activity
2597,4,6,Medium Activity
2607,4,6,Medium Activity
2624,4,6,Medium Activity
2635,4,6,Medium Activity
2651,4,6,Medium Activity
2671,4,6,Medium Activity
2696,4,6,Medium Activity
2709,4,6,Medium Activity
2719,4,6,Medium Activity
2721,4,6,Medium Activity
2725,4,6,Medium Activity
2740,4,6,Medium Activity
2747,4,6,Medium Activity
2760,4,6,Medium Activity
2761,4,6,Medium Activity
2771,4,6,Medium Activity
2780,4,6,Medium Activity
2805,4,6,Medium Activity
2810,4,6,Medium Activity
2823,4,6,Medium Activity
2835,4,6,Medium Activity
2838,4,6,Medium Activity
2849,4,6,Medium Activity
2874,4,6,Medium Activity
2899,4,6,Medium Activity
2916,4,6,Medium Activity
2924,4,6,Medium Activity
2931,4,6,Medium Activity
2943,4,6,Medium Activity
2990,4,6,Medium Activity
2994,4,6,Medium Activity
3061,4,6,Medium Activity
3063,4,6,Medium Activity
3075,4,6,Medium Activity
3097,4,6,Medium Activity
3105,4,6,Medium Activity
3108,4,6,Medium Activity
3115,4,6,Medium Activity
3143,4,6,Medium Activity
3160,4,6,Medium Activity
3163,4,6,Medium Activity
3167,4,6,Medium Activity
3200,4,6,Medium Activity
3226,4,6,Medium Activity
3227,4,6,Medium Activity
3246,4,6,Medium Activity
3256,4,6,Medium Activity
3261,4,6,Medium Activity
3273,4,6,Medium Activity
3300,4,6,Medium Activity
3301,4,6,Medium Activity
3317,4,6,Medium Activity
3327,4,6,Medium Activity
3333,4,6,Medium Activity
3364,4,6,Medium Activity
3365,4,6,Medium Activity
3376,4,6,Medium Activity
3393,4,6,Medium Activity
3397,4,6,Medium Activity
3410,4,6,Medium Activity
3411,4,6,Medium Activity
3415,4,6,Medium Activity
3416,4,6,Medium Activity
3429,4,6,Medium Activity
3441,4,6,Medium Activity
3442,4,6,Medium Activity
3449,4,6,Medium Activity
3456,4,6,Medium Activity
3462,4,6,Medium Activity
3464,4,6,Medium Activity
3497,4,6,Medium Activity
3508,4,6,Medium Activity
3533,4,6,Medium Activity
3536,4,6,Medium Activity
3539,4,6,Medium Activity
3541,4,6,Medium Activity
3542,4,6,Medium Activity
3548,4,6,Medium Activity
3561,4,6,Medium Activity
3567,4,6,Medium Activity
3580,4,6,Medium Activity
3588,4,6,Medium Activity
3601,4,6,Medium Activity
3606,4,6,Medium Activity
3619,4,6,Medium Activity
3633,4,6,Medium Activity
3635,4,6,Medium Activity
3662,4,6,Medium Activity
3678,4,6,Medium Activity
3681,4,6,Medium Activity
3706,4,6,Medium Activity
3713,4,6,Medium Activity
3716,4,6,Medium Activity
3725,4,6,Medium Activity
3751,4,6,Medium Activity
3764,4,6,Medium Activity
3767,4,6,Medium Activity
3774,4,6,Medium Activity
3777,4,6,Medium Activity
3817,4,6,Medium Activity
3839,4,6,Medium Activity
3845,4,6,Medium Activity
3850,4,6,Medium Activity
3855,4,6,Medium Activity
3875,4,6,Medium Activity
3878,4,6,Medium Activity
3886,4,6,Medium Activity
3905,4,6,Medium Activity
3910,4,6,Medium Activity
3921,4,6,Medium Activity
3928,4,6,Medium Activity
3945,4,6,Medium Activity
3986,4,6,Medium Activity
4005,4,6,Medium Activity
4019,4,6,Medium Activity
4027,4,6,Medium Activity
4043,4,6,Medium Activity
4111,4,6,Medium Activity
4121,4,6,Medium Activity
4134,4,6,Medium Activity
4135,4,6,Medium Activity
4140,4,6,Medium Activity
4151,4,6,Medium Activity
4152,4,6,Medium Activity
4154,4,6,Medium Activity
4162,4,6,Medium Activity
4170,4,6,Medium Activity
4172,4,6,Medium Activity
4173,4,6,Medium Activity
4198,4,6,Medium Activity
4202,4,6,Medium Activity
4237,4,6,Medium Activity
4245,4,6,Medium Activity
4276,4,6,Medium Activity
4284,4,6,Medium Activity
4320,4,6,Medium Activity
4324,4,6,Medium Activity
4326,4,6,Medium Activity
4327,4,6,Medium Activity
4331,4,6,Medium Activity
4368,4,6,Medium Activity
4373,4,6,Medium Activity
4379,4,6,Medium Activity
4399,4,6,Medium Activity
4405,4,6,Medium Activity
4424,4,6,Medium Activity
4432,4,6,Medium Activity
4437,4,6,Medium Activity
4443,4,6,Medium Activity
4445,4,6,Medium Activity
4448,4,6,Medium Activity
4469,4,6,Medium Activity
4474,4,6,Medium Activity
4484,4,6,Medium Activity
4500,4,6,Medium Activity
4506,4,5,Medium Activity
4528,4,5,Medium Activity
4535,4,5,Medium Activity
4536,4,5,Medium Activity
4544,4,5,Medium Activity
4555,4,5,Medium Activity
4563,4,5,Medium Activity
4577,4,5,Medium Activity
4587,4,5,Medium Activity
4592,4,5,Medium Activity
4606,4,5,Medium Activity
4627,4,5,Medium Activity
4633,4,5,Medium Activity
4635,4,5,Medium Activity
4636,4,5,Medium Activity
4658,4,5,Medium Activity
4670,4,5,Medium Activity
4686,4,5,Medium Activity
4689,4,5,Medium Activity
4690,4,5,Medium Activity
4706,4,5,Medium Activity
4707,4,5,Medium Activity
4727,4,5,Medium Activity
4749,4,5,Medium Activity
4761,4,5,Medium Activity
4762,4,5,Medium Activity
4789,4,5,Medium Activity
4792,4,5,Medium Activity
4793,4,5,Medium Activity
4803,4,5,Medium Activity
4811,4,5,Medium Activity
4814,4,5,Medium Activity
4820,4,5,Medium Activity
4836,4,5,Medium Activity
4862,4,5,Medium Activity
4868,4,5,Medium Activity
4874,4,5,Medium Activity
4877,4,5,Medium Activity
4883,4,5,Medium Activity
4885,4,5,Medium Activity
4900,4,5,Medium Activity
4906,4,5,Medium Activity
4925,4,5,Medium Activity
4929,4,5,Medium Activity
4930,4,5,Medium Activity
4937,4,5,Medium Activity
4950,4,5,Medium Activity
4952,4,5,Medium Activity
4983,4,5,Medium Activity
4991,4,5,Medium Activity
5019,4,4,Medium Activity
5045,4,4,Medium Activity
5052,4,4,Medium Activity
5065,4,4,Medium Activity
5072,4,4,Medium Activity
5076,4,4,Medium Activity
5081,4,4,Medium Activity
5085,4,4,Medium Activity
5089,4,4,Medium Activity
5091,4,4,Medium Activity
5100,4,4,Medium Activity
5104,4,4,Medium Activity
5108,4,4,Medium Activity
5111,4,4,Medium Activity
5114,4,4,Medium Activity
5117,4,4,Medium Activity
5122,4,4,Medium Activity
5162,4,4,Medium Activity
5164,4,4,Medium Activity
5172,4,4,Medium Activity
5190,4,4,Medium Activity
5198,4,4,Medium Activity
5223,4,4,Medium Activity
5253,4,4,Medium Activity
5260,4,4,Medium Activity
5275,4,4,Medium Activity
5293,4,4,Medium Activity
5329,4,4,Medium Activity
5330,4,4,Medium Activity
5338,4,4,Medium Activity
5346,4,4,Medium Activity
5360,4,4,Medium Activity
5367,4,4,Medium Activity
5376,4,4,Medium Activity
5388,4,4,Medium Activity
5434,4,4,Medium Activity
5463,4,4,Medium Activity
5466,4,4,Medium Activity
5477,4,4,Medium Activity
5481,4,4,Medium Activity
5488,4,4,Medium Activity
5501,4,3,Medium Activity
5515,4,3,Medium Activity
5517,4,3,Medium Activity
5527,4,3,Medium Activity
5534,4,3,Medium Activity
5535,4,3,Medium Activity
5540,4,3,Medium Activity
5542,4,3,Medium Activity
5543,4,3,Medium Activity
5555,4,3,Medium Activity
5567,4,3,Medium Activity
5589,4,3,Medium Activity
5605,4,3,Medium Activity
5617,4,3,Medium Activity
5636,4,3,Medium Activity
5650,4,3,Medium Activity
5653,4,3,Medium Activity
5660,4,3,Medium Activity
5671,4,3,Medium Activity
5679,4,3,Medium Activity
5684,4,3,Medium Activity
5705,4,3,Medium Activity
5721,4,3,Medium Activity
5726,4,3,Medium Activity
5747,4,3,Medium Activity
5755,4,3,Medium Activity
5756,4,3,Medium Activity
5772,4,3,Medium Activity
5778,4,3,Medium Activity
